Ziolo;2298.732;2300.661;2302.589;2304.518;2306.446;2308.375;2310.303;2312.232;2314.16;2316.089;2318.017;2319.946;2321.874;2323.802;2325.731;2327.659;2329.588;2331.516;2333.445;2335.373;2337.302;2339.23;2341.159;2343.087;2345.016;2346.944;2348.873;2350.801;2352.729;2354.658;2356.586;2358.515;2360.443;2362.372;2364.3;2366.229;2368.157;2370.086;2372.014;2373.942;2375.871;2377.799;2379.728;2381.656;2383.585;2385.513;2387.442;2389.37;2391.299;2393.227;2395.156;2397.084;2399.012;2400.941;2402.869;2404.798;2406.726;2408.655;2410.583;2412.512;2414.44;2416.369;2418.297;2420.226;2422.154;2424.083;2426.011;2427.939;2429.868;2431.796;2433.725;2435.653;2437.582;2439.51;2441.439;2443.367;2445.296;2447.224;2449.153;2451.081;2453.01;2454.938;2456.866;2458.795;2460.723;2462.652;2464.58;2466.509;2468.437;2470.366;2472.294;2474.223;2476.151;2478.08;2480.008;2481.937;2483.865;2485.793;2487.722;2489.65;2491.579;2493.507;2495.436;2497.364;2499.293;2501.221;2503.15;Ziolo
L1a;0.01393592;0.0147202;0.01540299;0.0147162;0.01539489;0.01753581;0.01847293;0.01848521;0.01919565;0.01903338;0.01968371;0.02175324;0.02245724;0.02273515;0.02314064;0.02338936;0.02345727;0.02323499;0.0228542;0.0228431;0.02322016;0.02372317;0.02458527;0.02463251;0.02371994;0.02141542;0.02072874;0.02265539;0.0249066;0.0264122;0.02704894;0.02697433;0.02717623;0.02693891;0.02573583;0.02467292;0.02413703;0.02308022;0.02129129;0.01963366;0.01878589;0.0182637;0.01661427;0.01519824;0.01485116;0.01425938;0.01350975;0.01310892;0.01346282;0.01406563;0.01393037;0.01364908;0.01412672;0.014073;0.01424033;0.01428465;0.0144559;0.01423642;0.01409858;0.01459173;0.01489204;0.01480133;0.01384397;0.01354681;0.01414126;0.0144308;0.01415722;0.01368764;0.01402962;0.01517336;0.01550928;0.01458637;0.01463701;0.01501843;0.01456465;0.01449736;0.01429901;0.01373453;0.01326939;0.0141311;0.01544376;0.0160482;0.01596969;0.01548666;0.01497357;0.0148045;0.01533414;0.01610224;0.01629183;0.0160838;0.0155551;0.01562624;0.01624342;0.01612638;0.01601729;0.01609185;0.0166925;0.01597536;0.01525924;0.01554678;0.01531137;0.01495656;0.01436059;0.01465293;0.01543753;0.01560732;0.01570768;L
L1b;0.01488831;0.01605446;0.01655524;0.01615714;0.01667858;0.01883879;0.02033189;0.02097636;0.02207586;0.02221244;0.02366129;0.0268776;0.02851318;0.02929897;0.0295687;0.02912164;0.02978973;0.03087258;0.03122739;0.03168528;0.03181221;0.03212187;0.03367952;0.03443565;0.03208664;0.02738689;0.02568232;0.02905279;0.03339864;0.03692281;0.03903875;0.04012548;0.03997926;0.03874004;0.03717567;0.03574792;0.0337248;0.03150046;0.0288276;0.02562981;0.0228923;0.02006252;0.01673321;0.01503347;0.01451356;0.01364433;0.01276466;0.01245237;0.01260819;0.01312738;0.01261259;0.01190561;0.01279399;0.01305758;0.01233892;0.01249571;0.01312096;0.01269166;0.01233024;0.01275885;0.01291789;0.01292103;0.01214366;0.01217482;0.01257911;0.01263165;0.01283266;0.01268146;0.01284075;0.0137036;0.01414908;0.01331144;0.01304363;0.01355878;0.01351503;0.01316372;0.01281228;0.01258212;0.01247942;0.01304104;0.01396107;0.01397964;0.01383024;0.01387984;0.01386434;0.01346984;0.01356101;0.01488324;0.01507245;0.01481301;0.01440626;0.01420059;0.01381494;0.01396643;0.01494824;0.01547135;0.0153237;0.01376424;0.01350877;0.0141846;0.01396471;0.01403262;0.01378794;0.01419106;0.01520535;0.01511007;0.01412314;L
L1c;0.01526981;0.01647822;0.01732164;0.01641858;0.01690623;0.01930451;0.02072874;0.0212841;0.02199387;0.0229452;0.02500717;0.02781057;0.02898862;0.02965897;0.03010453;0.03042177;0.030368;0.03038966;0.03104315;0.03210003;0.03208962;0.03224442;0.03350522;0.0337474;0.03144607;0.02767761;0.02650991;0.02927648;0.03272202;0.03557048;0.03828623;0.04032356;0.03942323;0.03818549;0.03729079;0.03552586;0.03364411;0.03112257;0.02794291;0.02551204;0.0237017;0.02136368;0.01897493;0.01633165;0.01458528;0.01381844;0.01322187;0.01272732;0.01293279;0.01348157;0.01340599;0.01302646;0.0131311;0.0132599;0.01313998;0.01326713;0.01331294;0.01337245;0.01330805;0.01352684;0.01326154;0.01300851;0.01301677;0.01317446;0.01340085;0.01347749;0.01354451;0.01381816;0.01454275;0.01500926;0.01489518;0.0138891;0.01419226;0.01487544;0.01473608;0.01390777;0.01370632;0.01399197;0.01340207;0.01359434;0.01488769;0.01498448;0.01459559;0.01475462;0.01459455;0.01401161;0.01419621;0.01518653;0.01560064;0.01532059;0.01456672;0.01460741;0.01489004;0.01534319;0.01606885;0.01583866;0.01559965;0.01516467;0.01500872;0.01513572;0.01492272;0.01524607;0.01464202;0.01470285;0.01519378;0.01550079;0.0148553;L
L2a;0.02280323;0.02328363;0.0235051;0.02345934;0.02378372;0.02452504;0.02489954;0.02539501;0.02516648;0.02494309;0.02630338;0.02779413;0.02853188;0.02892157;0.02817019;0.02722522;0.02667415;0.02679557;0.02726925;0.02736843;0.02752851;0.02708863;0.02687628;0.02769795;0.02799152;0.02669164;0.02616831;0.02738961;0.02811441;0.02874618;0.02943876;0.03018334;0.03048279;0.02934998;0.02840146;0.02903038;0.02899751;0.02782388;0.02677031;0.02595097;0.02493719;0.02432234;0.02396486;0.02345474;0.02376807;0.02369638;0.0230278;0.02286742;0.02318236;0.02359361;0.02371031;0.02377082;0.02425089;0.02403725;0.02374109;0.02419951;0.02470833;0.02518428;0.02479752;0.02444097;0.02431438;0.02450617;0.02481881;0.02529126;0.02497384;0.02481878;0.02514119;0.02520959;0.02557835;0.02579559;0.02539424;0.02538774;0.02536173;0.02621703;0.02662073;0.02585868;0.02512769;0.02490857;0.02532001;0.02572623;0.02606565;0.02736853;0.02776531;0.02664985;0.02658697;0.02748597;0.02794306;0.0279136;0.02717284;0.02690609;0.02670485;0.02703126;0.02786607;0.02821838;0.02819831;0.02769116;0.02721605;0.02772091;0.02819719;0.02860808;0.02821365;0.02785444;0.02871809;0.02894003;0.02800813;0.02758824;0.02745412;L
L2b;0.02322084;0.02334398;0.02365773;0.02378322;0.02366945;0.02314697;0.0235506;0.02498692;0.02495398;0.02467201;0.02552485;0.02630346;0.02707074;0.02795943;0.02697095;0.02554487;0.02564443;0.02605042;0.02580504;0.02543021;0.02585726;0.02592823;0.02597375;0.02674532;0.02737482;0.0261418;0.02549297;0.0261777;0.026823;0.0269585;0.02646811;0.02616418;0.0266025;0.02666412;0.02626775;0.02693499;0.02641922;0.02562991;0.02511754;0.02444849;0.02489973;0.02555762;0.02499365;0.0242269;0.02426628;0.0244361;0.02455241;0.02468902;0.02480661;0.02458428;0.02474833;0.02472135;0.02535838;0.02534139;0.0243891;0.02457936;0.02495738;0.02514149;0.02517824;0.02481093;0.02467094;0.02494137;0.02506002;0.02535767;0.02549135;0.02537534;0.02617903;0.02647156;0.02623519;0.02608757;0.02605208;0.02674902;0.02698398;0.02680352;0.02641213;0.02608141;0.02586256;0.02588446;0.02717359;0.02824983;0.02771533;0.02780021;0.02786366;0.02738257;0.02711604;0.02757423;0.02825212;0.02837974;0.02802245;0.02836453;0.02846934;0.02826234;0.0285788;0.02830652;0.02785382;0.02847508;0.02854663;0.0285021;0.02848687;0.02853559;0.02831255;0.02868605;0.02920834;0.02883155;0.02879296;0.02863196;0.0284697;L
L2c;0.02390333;0.0240346;0.02351766;0.02400604;0.02362178;0.02329138;0.02362517;0.02389666;0.02392919;0.02403402;0.02457264;0.02535585;0.0257258;0.02541313;0.02339576;0.02231137;0.02260509;0.02254234;0.02316217;0.02337739;0.02351451;0.02261421;0.0217901;0.02286051;0.02390051;0.02417917;0.02403603;0.02422789;0.0236383;0.022809;0.02245171;0.02267462;0.02298252;0.02218583;0.02198417;0.02277527;0.02315908;0.02339181;0.02286366;0.02238363;0.02339675;0.02434062;0.02430906;0.02425549;0.02429304;0.02439867;0.02457887;0.02483589;0.0249898;0.02477491;0.02524723;0.02555995;0.02517074;0.02516374;0.02500324;0.0251134;0.02593758;0.0268531;0.02622183;0.02556742;0.02575867;0.02621409;0.02620838;0.02623399;0.02558616;0.02556755;0.0264639;0.02692875;0.02737758;0.02752984;0.02745537;0.02752895;0.02751582;0.02753656;0.02761952;0.027433;0.02725828;0.0267466;0.027361;0.02764896;0.02758745;0.02852036;0.02889456;0.02805418;0.02732491;0.02779947;0.02868542;0.02898807;0.02897234;0.02941291;0.02882303;0.0289748;0.02954485;0.02858454;0.02821733;0.02861;0.02882938;0.02928481;0.02913463;0.02901957;0.02947666;0.03018191;0.0308291;0.03010457;0.02906337;0.02917643;0.02934267;L
L3a;0.03659575;0.0376963;0.03777768;0.03715416;0.03731947;0.03924635;0.04001546;0.03979511;0.04118669;0.04217222;0.04373061;0.04530494;0.04597429;0.04750439;0.04704674;0.04541855;0.04528572;0.04619252;0.04592049;0.0461522;0.04706531;0.04787782;0.04786067;0.04694136;0.04686111;0.04493216;0.04349047;0.04481672;0.047336;0.04975965;0.05150472;0.05258782;0.05214483;0.0508717;0.05046597;0.04927057;0.04756763;0.04792323;0.04605085;0.04386482;0.04336095;0.04200604;0.04049408;0.03992329;0.03980447;0.03966602;0.03959565;0.04016059;0.03998679;0.03884259;0.03922894;0.03988599;0.03938674;0.04004565;0.04015886;0.04009256;0.04122763;0.04176091;0.04077705;0.04036318;0.04142439;0.04169004;0.04027243;0.04029671;0.04139833;0.04144559;0.04202319;0.04302051;0.04324527;0.0421809;0.04133826;0.0419367;0.04265986;0.04298736;0.04371164;0.04356963;0.043832;0.04405114;0.04370108;0.0433328;0.04342565;0.04312814;0.04293013;0.04372142;0.04414704;0.04446469;0.04455292;0.04477761;0.04521928;0.04483101;0.04464605;0.04546062;0.0454486;0.04481888;0.04469445;0.04550664;0.04618141;0.04557603;0.0453774;0.04541654;0.04525161;0.04578422;0.04674809;0.04645689;0.04601824;0.04630488;0.04618734;L
L3b;0.03706167;0.0377477;0.03869115;0.03906193;0.03827068;0.03881003;0.04011493;0.04066055;0.04101466;0.04037142;0.04108752;0.04291631;0.04417352;0.04535478;0.04459963;0.04345511;0.04379418;0.04415581;0.04419084;0.04451657;0.04509947;0.04562025;0.04516948;0.04442997;0.04426071;0.04283455;0.04249474;0.04358223;0.0450145;0.04751205;0.04950101;0.04987728;0.04944803;0.04909161;0.04951667;0.04863577;0.04661267;0.04588238;0.04388865;0.04256855;0.04198728;0.0407308;0.03994365;0.03998661;0.03988995;0.03976656;0.03994156;0.04048877;0.04073443;0.04028829;0.04026546;0.03991043;0.03917938;0.04028657;0.04087126;0.04038516;0.04142595;0.04241851;0.04288474;0.04274277;0.0424091;0.0421547;0.04154769;0.04140422;0.04205724;0.04308017;0.04271306;0.04253193;0.0421273;0.04207664;0.0425064;0.04323104;0.04370865;0.04369306;0.0439623;0.04397046;0.04431857;0.04482502;0.04438945;0.04399054;0.04449643;0.04455524;0.04361707;0.04365375;0.04474605;0.04473397;0.04421276;0.0438101;0.04394666;0.04457626;0.04461263;0.04506237;0.04503375;0.04474496;0.04523047;0.04616528;0.04635615;0.04596052;0.04588276;0.04611973;0.04685368;0.04770317;0.04792017;0.04778439;0.0471519;0.04708589;0.04725616;L
L3c;0.03864135;0.04006508;0.0406047;0.04016193;0.03963595;0.04066739;0.0415735;0.04264444;0.04342505;0.04307495;0.04442312;0.04569408;0.04681366;0.04808642;0.04663065;0.04561156;0.04559296;0.045642;0.04616413;0.04585243;0.04604872;0.04695907;0.04705397;0.04621709;0.04575799;0.04473911;0.04459348;0.04529046;0.04608279;0.04818915;0.04980624;0.05024391;0.05077647;0.04997313;0.04964761;0.04843641;0.04593465;0.04615853;0.04525422;0.04390873;0.04385526;0.04312849;0.04253555;0.04228694;0.0421395;0.04225379;0.04201782;0.04264177;0.04329877;0.04247189;0.04241716;0.04240537;0.04246536;0.04322535;0.04315795;0.04320967;0.04397492;0.04428877;0.0443889;0.04462309;0.04498051;0.04485526;0.04413577;0.04451631;0.0446862;0.0449506;0.04529037;0.04564955;0.04617981;0.04552417;0.04465138;0.04508294;0.04579631;0.04559091;0.04630535;0.04659406;0.04728236;0.04768414;0.04688887;0.04687037;0.04772816;0.04695387;0.04543931;0.04542211;0.04630995;0.0470803;0.0469045;0.04696923;0.04699965;0.04708568;0.04754435;0.04834057;0.04812459;0.04722469;0.04766736;0.0488895;0.04907681;0.04891686;0.04885972;0.04835701;0.04787529;0.04846825;0.04966325;0.04996854;0.0496641;0.04967332;0.05022439;L
